;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202101;Enero de 2021;1;Andalucía;4;Almería;04001;Abla;21;0;9;1;0;11;0;3;0;2;16
202101;Enero de 2021;1;Andalucía;4;Almería;04002;Abrucena;92;2;57;0;0;33;0;65;1;3;23
202101;Enero de 2021;1;Andalucía;4;Almería;04003;Adra;456;11;248;11;6;177;3;205;4;37;210
202101;Enero de 2021;1;Andalucía;4;Almería;04004;Albánchez;3;1;1;0;0;1;0;0;1;0;2
202101;Enero de 2021;1;Andalucía;4;Almería;04005;Alboloduy;11;0;6;0;0;5;0;3;0;0;8
202101;Enero de 2021;1;Andalucía;4;Almería;04006;Albox;163;7;72;3;3;77;1;16;21;21;105
202101;Enero de 2021;1;Andalucía;4;Almería;04007;Alcolea;58;1;34;1;0;22;0;20;2;5;31
202101;Enero de 2021;1;Andalucía;4;Almería;04008;Alcóntar;7;0;1;0;0;6;0;0;0;0;7
202101;Enero de 2021;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;1;0;1;0;0;0;0;0;0;1;0
202101;Enero de 2021;1;Andalucía;4;Almería;04010;Alhabia;13;0;13;0;0;0;0;0;5;8;0
202101;Enero de 2021;1;Andalucía;4;Almería;04011;Alhama de Almería;53;0;28;1;0;22;2;12;1;15;25
202101;Enero de 2021;1;Andalucía;4;Almería;04012;Alicún;8;1;1;0;5;1;0;0;0;0;8
202101;Enero de 2021;1;Andalucía;4;Almería;04013;Almería;4851;126;2415;111;90;2021;88;610;172;430;3639
202101;Enero de 2021;1;Andalucía;4;Almería;04014;Almócita;3;0;3;0;0;0;0;1;0;0;2
202101;Enero de 2021;1;Andalucía;4;Almería;04015;Alsodux;0;0;0;0;0;0;0;0;0;0;0
202101;Enero de 2021;1;Andalucía;4;Almería;04016;Antas;327;91;139;11;19;64;3;111;7;33;176
202101;Enero de 2021;1;Andalucía;4;Almería;04017;Arboleas;35;4;20;1;0;10;0;13;0;2;20
202101;Enero de 2021;1;Andalucía;4;Almería;04018;Armuña de Almanzora;1;0;0;0;0;1;0;1;0;0;0
202101;Enero de 2021;1;Andalucía;4;Almería;04019;Bacares;7;0;3;0;0;4;0;1;0;0;6
202101;Enero de 2021;1;Andalucía;4;Almería;04020;Bayárcal;3;0;3;0;0;0;0;0;0;2;1
202101;Enero de 2021;1;Andalucía;4;Almería;04021;Bayarque;2;0;0;0;0;2;0;0;0;0;2
202101;Enero de 2021;1;Andalucía;4;Almería;04022;Bédar;3;0;3;0;0;0;0;0;0;0;3
202101;Enero de 2021;1;Andalucía;4;Almería;04023;Beires;4;0;3;0;0;1;0;0;0;0;4
202101;Enero de 2021;1;Andalucía;4;Almería;04024;Benahadux;157;4;72;3;1;76;1;5;131;3;18
202101;Enero de 2021;1;Andalucía;4;Almería;04026;Benitagla;0;0;0;0;0;0;0;0;0;0;0
202101;Enero de 2021;1;Andalucía;4;Almería;04027;Benizalón;5;0;1;0;0;4;0;3;0;0;2
202101;Enero de 2021;1;Andalucía;4;Almería;04028;Bentarique;2;0;1;0;0;1;0;0;0;1;1
202101;Enero de 2021;1;Andalucía;4;Almería;04029;Berja;197;10;110;3;0;71;3;81;10;33;73
202101;Enero de 2021;1;Andalucía;4;Almería;04030;Canjáyar;18;0;12;0;0;6;0;4;1;0;13
202101;Enero de 2021;1;Andalucía;4;Almería;04031;Cantoria;150;13;93;4;4;34;2;7;94;7;42
202101;Enero de 2021;1;Andalucía;4;Almería;04032;Carboneras;196;1;152;4;0;37;2;88;20;7;81
202101;Enero de 2021;1;Andalucía;4;Almería;04033;Castro de Filabres;0;0;0;0;0;0;0;0;0;0;0
202101;Enero de 2021;1;Andalucía;4;Almería;04034;Cóbdar;3;0;3;0;0;0;0;0;0;0;3
202101;Enero de 2021;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;487;12;313;3;7;151;1;322;14;14;137
202101;Enero de 2021;1;Andalucía;4;Almería;04036;Chercos;2;0;1;0;0;1;0;0;1;0;1
202101;Enero de 2021;1;Andalucía;4;Almería;04037;Chirivel;38;1;25;1;0;11;0;9;0;5;24
202101;Enero de 2021;1;Andalucía;4;Almería;04038;Dalías;77;1;53;0;0;22;1;36;0;2;39
