;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202301;Enero de 2023;1;Andalucía;4;Almería;04054;Illar;7;<5;<5;0;0;5;0;<5;0;0;5
202301;Enero de 2023;1;Andalucía;4;Almería;04055;Instinción;17;<5;8;0;0;8;0;7;0;0;10
202301;Enero de 2023;1;Andalucía;4;Almería;04056;Laroya;0;0;0;0;0;0;0;0;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04057;Láujar de Andarax;14;<5;<5;0;<5;6;0;0;<5;<5;8
202301;Enero de 2023;1;Andalucía;4;Almería;04058;Líjar;5;0;<5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04059;Lubrín;21;9;5;0;<5;6;0;6;<5;5;8
202301;Enero de 2023;1;Andalucía;4;Almería;04060;Lucainena de las Torres;40;16;14;<5;6;<5;<5;26;8;0;6
202301;Enero de 2023;1;Andalucía;4;Almería;04061;Lúcar;16;<5;<5;0;0;11;0;10;0;<5;5
202301;Enero de 2023;1;Andalucía;4;Almería;04062;Macael;57;31;<5;<5;11;7;<5;0;10;<5;46
202301;Enero de 2023;1;Andalucía;4;Almería;04063;María;17;6;5;0;<5;5;0;12;<5;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04064;Mojácar;441;56;195;<5;36;147;6;271;<5;24;142
202301;Enero de 2023;1;Andalucía;4;Almería;04065;Nacimiento;17;5;<5;<5;<5;<5;0;11;<5;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04066;Níjar;1111;480;168;32;256;158;17;554;14;80;463
202301;Enero de 2023;1;Andalucía;4;Almería;04067;Ohanes;12;0;<5;0;<5;6;0;6;0;0;6
202301;Enero de 2023;1;Andalucía;4;Almería;04068;Olula de Castro;6;0;<5;0;0;5;0;6;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04069;Olula del Río;79;19;19;0;26;13;<5;0;8;5;66
202301;Enero de 2023;1;Andalucía;4;Almería;04070;Oria;56;12;15;<5;10;14;<5;10;0;<5;42
202301;Enero de 2023;1;Andalucía;4;Almería;04071;Padules;13;<5;<5;0;<5;<5;0;<5;0;0;9
202301;Enero de 2023;1;Andalucía;4;Almería;04072;Partaloa;15;7;<5;0;<5;5;0;<5;0;6;6
202301;Enero de 2023;1;Andalucía;4;Almería;04073;Paterna del Río;<5;0;<5;0;0;<5;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04074;Pechina;53;31;8;0;5;9;0;22;10;<5;19
202301;Enero de 2023;1;Andalucía;4;Almería;04075;Pulpí;1323;477;390;36;228;157;35;1140;23;22;138
