;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202201;Enero de 2022;1;Andalucía;4;Almería;04001;Abla;25;<5;9;<5;<5;10;<5;8;0;<5;15
202201;Enero de 2022;1;Andalucía;4;Almería;04002;Abrucena;37;<5;18;<5;0;13;0;15;<5;6;14
202201;Enero de 2022;1;Andalucía;4;Almería;04003;Adra;429;28;215;11;8;162;5;129;12;48;240
202201;Enero de 2022;1;Andalucía;4;Almería;04004;Albánchez;6;0;<5;0;0;<5;0;<5;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04005;Alboloduy;10;0;5;0;0;5;0;<5;<5;0;7
202201;Enero de 2022;1;Andalucía;4;Almería;04006;Albox;253;17;122;10;15;81;8;10;26;27;190
202201;Enero de 2022;1;Andalucía;4;Almería;04007;Alcolea;35;<5;20;0;0;10;<5;10;<5;9;14
202201;Enero de 2022;1;Andalucía;4;Almería;04008;Alcóntar;<5;0;<5;<5;0;0;<5;0;<5;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;8;0;<5;<5;0;<5;<5;0;0;0;8
202201;Enero de 2022;1;Andalucía;4;Almería;04010;Alhabia;5;<5;<5;0;0;<5;0;0;<5;<5;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04011;Alhama de Almería;67;5;34;<5;<5;19;<5;16;9;12;30
202201;Enero de 2022;1;Andalucía;4;Almería;04012;Alicún;8;<5;<5;0;<5;0;0;0;0;0;8
202201;Enero de 2022;1;Andalucía;4;Almería;04013;Almería;6806;445;3041;193;276;2679;172;1554;201;354;4697
202201;Enero de 2022;1;Andalucía;4;Almería;04014;Almócita;6;0;5;0;0;<5;0;<5;0;0;5
202201;Enero de 2022;1;Andalucía;4;Almería;04015;Alsodux;0;0;0;0;0;0;0;0;0;0;0
202201;Enero de 2022;1;Andalucía;4;Almería;04016;Antas;269;113;97;25;13;17;<5;58;9;32;170
202201;Enero de 2022;1;Andalucía;4;Almería;04017;Arboleas;48;<5;24;0;<5;19;<5;14;<5;<5;31
202201;Enero de 2022;1;Andalucía;4;Almería;04018;Armuña de Almanzora;6;0;<5;0;0;5;0;<5;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04019;Bacares;15;0;<5;0;5;<5;<5;<5;0;0;12
202201;Enero de 2022;1;Andalucía;4;Almería;04020;Bayárcal;5;0;<5;0;0;<5;0;0;0;<5;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04021;Bayarque;<5;0;<5;0;0;<5;0;0;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04022;Bédar;9;0;7;0;0;<5;0;6;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04023;Beires;5;0;<5;0;0;<5;0;0;0;0;5
202201;Enero de 2022;1;Andalucía;4;Almería;04024;Benahadux;236;18;108;<5;5;103;<5;<5;154;<5;76
202201;Enero de 2022;1;Andalucía;4;Almería;04026;Benitagla;<5;0;<5;0;0;<5;0;0;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04027;Benizalón;6;0;<5;0;0;<5;0;<5;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04028;Bentarique;6;0;<5;0;0;<5;0;<5;0;0;<5
202201;Enero de 2022;1;Andalucía;4;Almería;04029;Berja;211;7;98;<5;<5;99;<5;62;<5;20;125
202201;Enero de 2022;1;Andalucía;4;Almería;04030;Canjáyar;27;0;13;0;0;14;0;11;0;<5;15
202201;Enero de 2022;1;Andalucía;4;Almería;04031;Cantoria;262;33;119;63;<5;35;8;9;154;14;85
